#       time                file                area                mass    irreducible mass                spin      dimless spin-x      dimless spin-y      dimless spin-z  dimless spin-z-alt     linear mom. |P|      linear mom. Px      linear mom. Py      linear mom. Pz            origin_x            origin_y            origin_z            center_x            center_y            center_z
  70.0000000    3.5000000000e+01    1.2537766616e+01    4.9943061930e-01    4.9943061734e-01    8.8517851023e-05   -3.0385151815e-05    5.6160500670e-06   -1.7452319543e-04    0.0000000000e+00    7.9518578864e-02   -1.3270726328e-02   -7.8403394105e-02   -2.5540551458e-08    2.5014668827e+02    2.5724063534e+02    0.0000000000e+00    2.5014975570e+02    2.5725975579e+02   -1.4901968548e-13
  72.0000000    3.6000000000e+01    1.2537869677e+01    4.9943267219e-01    4.9943267000e-01    9.3643042977e-05   -3.0670161914e-05    4.3020889351e-06   -1.8492335009e-04    0.0000000000e+00    7.9487068746e-02   -9.9208499529e-03   -7.8865523735e-02   -2.2364970823e-08    2.5010101031e+02    2.5699157182e+02    0.0000000000e+00    2.5010325913e+02    2.5701094505e+02   -1.5124013153e-13
  74.0000000    3.7000000000e+01    1.2538145889e+01    4.9943817362e-01    4.9943817128e-01    9.6697467252e-05   -3.0812321656e-05    3.0284521115e-06   -1.9112096878e-04    0.0000000000e+00    7.9498208659e-02   -6.5774247948e-03   -7.9225643973e-02   -2.3325709285e-08    2.5006565472e+02    2.5674067779e+02    0.0000000000e+00    2.5006710634e+02    2.5676022686e+02   -1.4749312882e-13
  76.0000000    3.8000000000e+01    1.2538164800e+01    4.9943855023e-01    4.9943854792e-01    9.6162042812e-05   -3.0914040493e-05    1.7324682184e-06   -1.9003442728e-04    0.0000000000e+00    7.9487616791e-02   -3.1944921485e-03   -7.9423399845e-02   -2.1955100595e-08    2.5004076736e+02    2.5648840657e+02    0.0000000000e+00    2.5004140941e+02    2.5650809662e+02   -1.5501488981e-13
  78.0000000    3.9000000000e+01    1.2538520613e+01    4.9944563675e-01    4.9944563450e-01    9.4840422039e-05   -3.0976226821e-05    4.4593797724e-07   -1.8734730142e-04    0.0000000000e+00    7.9487264010e-02    1.6861424311e-04   -7.9487085172e-02   -2.0862586297e-08    2.5002637983e+02    2.5623518035e+02    0.0000000000e+00    2.5002622332e+02    2.5625498097e+02    1.6886492205e-13
  80.0000000    4.0000000000e+01    1.2538761739e+01    4.9945043893e-01    4.9945043687e-01    9.0912230105e-05   -3.0965530178e-05   -8.6215785041e-07   -1.7936923147e-04    0.0000000000e+00    7.9487847686e-02    3.5448098252e-03   -7.9408766853e-02   -2.0909565281e-08    2.5002255761e+02    2.5598145995e+02    0.0000000000e+00    2.5002159996e+02    2.5600132020e+02    2.2504220709e-13
  82.0000000    4.1000000000e+01    1.2539081028e+01    4.9945679780e-01    4.9945679586e-01    8.7902776699e-05   -3.0897967810e-05   -2.1543311124e-06   -1.7324991467e-04    0.0000000000e+00    7.9492264973e-02    6.9172585895e-03   -7.9190730039e-02   -2.0522125688e-08    2.5002934893e+02    2.5572772121e+02    0.0000000000e+00    2.5002759098e+02    2.5574759655e+02    2.4552582190e-13
  84.0000000    4.2000000000e+01    1.2539359074e+01    4.9946233508e-01    4.9946233339e-01    8.2260594981e-05   -3.0788668887e-05   -3.4259549381e-06   -1.6175861356e-04    0.0000000000e+00    7.9498425378e-02    1.0273077892e-02   -7.8831868608e-02   -2.0678637397e-08    2.5004673011e+02    2.5547438427e+02    0.0000000000e+00    2.5004419711e+02    2.5549424428e+02    1.4949153027e-13
  86.0000000    4.3000000000e+01    1.2539643142e+01    4.9946799226e-01    4.9946799081e-01    7.6112402369e-05   -3.0628155085e-05   -4.7394515594e-06   -1.4920199487e-04    0.0000000000e+00    7.9513565012e-02    1.3615769013e-02   -7.8339120847e-02   -2.0655024870e-08    2.5007474507e+02    2.5522190870e+02    0.0000000000e+00    2.5007140865e+02    2.5524170512e+02    2.3547830352e-13
  88.0000000    4.4000000000e+01    1.2539818770e+01    4.9947148967e-01    4.9947148852e-01    6.7887092073e-05   -3.0407649015e-05   -5.9919760719e-06   -1.3233719670e-04    0.0000000000e+00    7.9525816275e-02    1.6924809026e-02   -7.7703965753e-02   -2.0180181194e-08    2.5011328195e+02    2.5497074450e+02    0.0000000000e+00    2.5010918057e+02    2.5499043869e+02    2.2304380565e-13
